n,processes,serial_compute,serial_total,mpi_compute,communication,postprocess,mpi_total,rp,rs,comm_fraction,empirical_speedup,theoretical_speedup
20000000,4,5.739412503,5.866930053,1.663113896,0.031857668,0.187944808,1.858874716,0.972981700,0.021617586,0.005400714,3.156172927,3.700089604
22000000,4,6.506267127,6.600097497,1.834289048,0.045161191,0.151139782,2.000231638,0.979084101,0.014119897,0.006796002,3.299666584,3.763828432
24000000,4,7.318183847,7.403536965,1.936985475,0.037094802,0.143198114,2.094742074,0.983543344,0.011471219,0.004985437,3.534342990,3.811811009
26000000,4,8.253469625,8.346809205,2.248871823,0.108450955,0.187773183,2.457183160,0.976134320,0.011039232,0.012826448,3.396901518,3.732746404
28000000,4,9.141796931,9.239996744,2.424097298,0.091235688,0.208465312,2.644681238,0.979698769,0.010523777,0.009777453,3.493803567,3.770370517
30000000,4,10.029797112,10.134038990,2.719772295,0.050007153,0.203882726,2.948879286,0.984853856,0.010235802,0.004910342,3.436573019,3.826145927
32000000,4,11.054891369,11.165030979,2.833913551,0.049498147,0.190460677,3.037060117,0.985765095,0.009821153,0.004413752,3.676262750,3.836177148
34000000,4,12.059547709,12.176451729,3.014554919,0.026243203,0.202198972,3.240650832,0.988269212,0.009580180,0.002150607,3.757409348,3.864016142
36000000,4,12.749128344,12.871593428,3.418317530,0.059008705,0.233331193,3.662793104,0.985965558,0.009470950,0.004563492,3.514147008,3.838390971
38000000,4,14.022377702,14.151153003,3.726265097,0.093921493,0.226184175,3.976923671,0.984366751,0.009039988,0.006593261,3.558316471,3.820805205
40000000,4,14.933723386,15.067191272,3.946296003,0.038240704,0.233877005,4.192444943,0.988632659,0.008835754,0.002531586,3.593891268,3.868090300
42000000,4,16.177087964,16.321900103,4.439270917,0.114098840,0.281912457,4.751814092,0.984247323,0.008810669,0.006942008,3.434877667,3.819498045
44000000,4,18.073533123,18.228040141,4.663111814,0.172696572,0.290198702,4.986028796,0.982217908,0.008396784,0.009385307,3.655823279,3.797421696
46000000,4,18.368254665,18.526798039,4.798728546,0.075972489,0.288885463,5.101668641,0.987393498,0.008522568,0.004083934,3.631517322,3.854234746
48000000,4,19.616738306,19.779973784,5.251844324,0.085835705,0.283069688,5.548722968,0.987462319,0.008216905,0.004320776,3.564779481,3.855001656
50000000,4,20.745284868,20.916363045,5.624415584,0.070978934,0.312253084,5.958899141,0.988466519,0.008151493,0.003381988,3.510105231,3.866226838
52000000,4,22.060612925,22.240144255,6.276081043,0.197525733,0.386238344,6.688753139,0.983195356,0.008001336,0.008803309,3.325005990,3.808022604
54000000,4,23.187686561,23.376778578,6.093508305,0.084318494,0.356242616,6.466528495,0.988346218,0.008059811,0.003593971,3.615043001,3.864878640
56000000,4,24.404090536,24.593165711,6.385953664,0.091438323,0.320882589,6.722083083,0.988636095,0.007659640,0.003704265,3.658563188,3.868128852
58000000,4,25.548766573,25.744136344,6.976326479,0.129642001,0.365045054,7.361363916,0.987438565,0.007550879,0.005010555,3.497196530,3.854736924
60000000,4,26.934991565,27.141460867,7.369971156,0.048316034,0.381816892,7.768768101,0.990629370,0.007593637,0.001776993,3.493663412,3.890627120
62000000,4,28.500954625,28.745707898,8.123059470,0.156014612,0.409066187,8.553881511,0.986133426,0.008468467,0.005398108,3.360545486,3.840246796
64000000,4,29.713952729,30.067342547,7.785005022,0.052201638,0.398742436,8.200836653,0.986533944,0.011732907,0.001733148,3.666375008,3.844681900
66000000,4,31.302299467,31.544964531,8.237489600,0.093319494,0.464334948,8.723775054,0.989380443,0.007669982,0.002949575,3.615976379,3.876499867
68000000,4,32.146206483,32.385091962,8.344904201,0.158264001,0.407017049,8.769080281,0.987796296,0.007340530,0.004863174,3.693100180,3.858727690
70000000,4,34.537320437,34.813592127,9.372149907,0.193090496,0.506718270,9.906967489,0.986592212,0.007891970,0.005515818,3.514051314,3.845327971
72000000,4,34.750501513,34.991439767,9.055377169,0.123583362,0.450422303,9.527529708,0.989619212,0.006861401,0.003519387,3.672666561,3.879192765
74000000,4,36.219826791,36.467635389,9.681273743,0.183476133,0.460532332,10.163342928,0.988232697,0.006761285,0.005006018,3.588153588,3.863607288
76000000,4,37.550045253,37.802588841,9.845584262,0.091094573,0.427834608,10.294235733,0.990931519,0.006664530,0.002403951,3.672209363,3.894060359
78000000,4,39.070575977,39.331463420,10.129324071,0.098990855,0.481951300,10.633115998,0.990873088,0.006616395,0.002510518,3.698959310,3.893395950
