n,processes,serial_time,mpi_time,speedup,efficiency
20000000,4,6.029959646,1.735071464,3.475338,0.868834
22000000,4,6.602591167,2.047920176,3.224047,0.806012
24000000,4,7.514163405,2.234339930,3.363035,0.840759
26000000,4,8.327165692,2.349872210,3.543667,0.885917
28000000,4,9.265065080,2.691683884,3.442107,0.860527
30000000,4,10.449373438,2.975673157,3.511600,0.877900
32000000,4,11.254446888,3.241033939,3.472487,0.868122
34000000,4,12.337897078,3.571221395,3.454812,0.863703
36000000,4,13.270958427,3.730653894,3.557274,0.889319
38000000,4,14.322013015,4.007922988,3.573425,0.893356
40000000,4,15.286236698,4.344850492,3.518242,0.879560
42000000,4,16.536257956,4.551310789,3.633296,0.908324
44000000,4,17.544331325,4.964619120,3.533873,0.883468
46000000,4,18.714592558,5.253169653,3.562533,0.890633
48000000,4,19.940181345,5.403671748,3.690117,0.922529
50000000,4,21.147199102,5.860806757,3.608240,0.902060
52000000,4,22.272630378,6.134622805,3.630644,0.907661
54000000,4,23.650340637,6.699200308,3.530323,0.882581
56000000,4,24.999149945,6.944693986,3.599748,0.899937
58000000,4,26.273465674,7.755084951,3.387902,0.846975
60000000,4,27.127790840,7.567992231,3.584543,0.896136
62000000,4,28.431765796,8.737801867,3.253881,0.813470
64000000,4,30.023753157,8.160674449,3.679077,0.919769
66000000,4,30.637664506,8.823759214,3.472178,0.868044
68000000,4,32.097939255,8.654435665,3.708843,0.927211
70000000,4,33.835049873,9.133520305,3.704492,0.926123
72000000,4,35.724998365,10.698766945,3.339170,0.834793
74000000,4,37.051717240,9.941655427,3.726916,0.931729
76000000,4,38.719660605,10.785899735,3.589841,0.897460
78000000,4,40.432908568,11.202474995,3.609284,0.902321
