n,threads,openmp_time
20000000,4,2.167602830
22000000,4,2.350730959
24000000,4,2.771374478
26000000,4,3.009851643
28000000,4,3.400205295
30000000,4,3.580981153
32000000,4,4.065718196
34000000,4,4.375722703
36000000,4,5.157762490
38000000,4,5.404324122
40000000,4,5.817263712
42000000,4,5.962411332
44000000,4,7.149659334
46000000,4,6.907699925
48000000,4,7.469348117
50000000,4,8.933062926
52000000,4,10.078739775
54000000,4,9.269982406
56000000,4,9.573096837
58000000,4,12.896376493
60000000,4,9.388350771
62000000,4,9.723760558
64000000,4,10.887107804
66000000,4,11.360931135
68000000,4,11.247043569
70000000,4,11.750655039
72000000,4,12.900694416
74000000,4,12.988591025
76000000,4,13.553135022
78000000,4,13.671736803
