n,processes,serial_compute,serial_total,mpi_compute,communication,postprocess,mpi_total,parallel_fraction,serial_fraction,communication_fraction,empirical_speedup,theoretical_speedup
20000000,4,5.739412503,5.866930053,1.663113896,0.031857668,0.187944808,1.858874716,0.978265030,0.021734970,0.005430041,3.156172927,3.680106477
22000000,4,6.506267127,6.600097497,1.834289048,0.045161191,0.151139782,2.000231638,0.985783487,0.014216513,0.006842504,3.299666584,3.738249446
24000000,4,7.318183847,7.403536965,1.936985475,0.037094802,0.143198114,2.094742074,0.988471305,0.011528695,0.005010416,3.534342990,3.792807464
26000000,4,8.253469625,8.346809205,2.248871823,0.108450955,0.187773183,2.457183160,0.988817334,0.011182666,0.012993103,3.396901518,3.684868526
28000000,4,9.141796931,9.239996744,2.424097298,0.091235688,0.208465312,2.644681238,0.989372311,0.010627689,0.009873996,3.493803567,3.733505895
30000000,4,10.029797112,10.134038990,2.719772295,0.050007153,0.203882726,2.948879286,0.989713689,0.010286311,0.004934573,3.436573019,3.807358240
32000000,4,11.054891369,11.165030979,2.833913551,0.049498147,0.190460677,3.037060117,0.990135306,0.009864694,0.004433319,3.676262750,3.819245215
34000000,4,12.059547709,12.176451729,3.014554919,0.026243203,0.202198972,3.240650832,0.990399172,0.009600828,0.002155242,3.757409348,3.855706161
36000000,4,12.749128344,12.871593428,3.418317530,0.059008705,0.233331193,3.662793104,0.990485631,0.009514369,0.004584413,3.514147008,3.820874503
38000000,4,14.022377702,14.151153003,3.726265097,0.093921493,0.226184175,3.976923671,0.990900014,0.009099986,0.006637021,3.558316471,3.795613639
40000000,4,14.933723386,15.067191272,3.946296003,0.038240704,0.233877005,4.192444943,0.991141820,0.008858180,0.002538011,3.593891268,3.858297896
42000000,4,16.177087964,16.321900103,4.439270917,0.114098840,0.281912457,4.751814092,0.991127740,0.008872260,0.006990537,3.434877667,3.792983059
44000000,4,18.073533123,18.228040141,4.663111814,0.172696572,0.290198702,4.986028796,0.991523663,0.008476337,0.009474226,3.655823279,3.761781726
46000000,4,18.368254665,18.526798039,4.798728546,0.075972489,0.288885463,5.101668641,0.991442484,0.008557516,0.004100681,3.631517322,3.838494306
48000000,4,19.616738306,19.779973784,5.251844324,0.085835705,0.283069688,5.548722968,0.991747437,0.008252563,0.004339526,3.564779481,3.838345059
50000000,4,20.745284868,20.916363045,5.624415584,0.070978934,0.312253084,5.958899141,0.991820845,0.008179155,0.003393464,3.510105231,3.853151306
52000000,4,22.060612925,22.240144255,6.276081043,0.197525733,0.386238344,6.688753139,0.991927600,0.008072400,0.008881495,3.325005990,3.774499406
54000000,4,23.187686561,23.376778578,6.093508305,0.084318494,0.356242616,6.466528495,0.991911117,0.008088883,0.003606934,3.615043001,3.850988380
56000000,4,24.404090536,24.593165711,6.385953664,0.091438323,0.320882589,6.722083083,0.992311881,0.007688119,0.003718038,3.658563188,3.853800277
58000000,4,25.548766573,25.744136344,6.976326479,0.129642001,0.365045054,7.361363916,0.992411096,0.007588904,0.005035788,3.497196530,3.835422551
60000000,4,26.934991565,27.141460867,7.369971156,0.048316034,0.381816892,7.768768101,0.992392845,0.007607155,0.001780156,3.493663412,3.883713504
62000000,4,28.500954625,28.745707898,8.123059470,0.156014612,0.409066187,8.553881511,0.991485572,0.008514428,0.005427405,3.360545486,3.819516730
64000000,4,29.713952729,30.067342547,7.785005022,0.052201638,0.398742436,8.200836653,0.988246723,0.011753277,0.001736157,3.666375008,3.838018496
66000000,4,31.302299467,31.544964531,8.237489600,0.093319494,0.464334948,8.723775054,0.992307328,0.007692672,0.002958301,3.615976379,3.865065840
68000000,4,32.146206483,32.385091962,8.344904201,0.158264001,0.407017049,8.769080281,0.992623597,0.007376403,0.004886940,3.693100180,3.839962026
70000000,4,34.537320437,34.813592127,9.372149907,0.193090496,0.506718270,9.906967489,0.992064258,0.007935742,0.005546411,3.514051314,3.824117841
72000000,4,34.750501513,34.991439767,9.055377169,0.123583362,0.450422303,9.527529708,0.993114366,0.006885634,0.003531817,3.672666561,3.865540384
74000000,4,36.219826791,36.467635389,9.681273743,0.183476133,0.460532332,10.163342928,0.993204698,0.006795302,0.005031205,3.588153588,3.844266000
76000000,4,37.550045253,37.802588841,9.845584262,0.091094573,0.427834608,10.294235733,0.993319410,0.006680590,0.002409744,3.672209363,3.884699227
78000000,4,39.070575977,39.331463420,10.129324071,0.098990855,0.481951300,10.633115998,0.993366953,0.006633047,0.002516836,3.698959310,3.883621510
